Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,7.573000,7.602000,7.517000,7.544000,7.544000,148599
2020-07-27,7.593000,7.598000,7.558000,7.578000,7.578000,180489
2020-07-28,7.515000,7.562000,7.501000,7.545000,7.545000,72731
2020-07-29,7.580000,7.593000,7.546400,7.555000,7.555000,1475959
2020-07-30,7.597000,7.633000,7.578000,7.633000,7.633000,341759
2020-07-31,7.645000,7.648000,7.573000,7.610000,7.610000,385835
2020-08-03,7.606000,7.606000,7.531000,7.572000,7.572000,310863
2020-08-04,7.555000,7.653000,7.555000,7.621000,7.621000,351489
2020-08-05,7.627000,7.627000,7.565000,7.565000,7.565000,239509
2020-08-06,7.599000,7.682220,7.599000,7.668000,7.668000,165586
2020-08-07,7.663000,7.668000,7.591000,7.589000,7.589000,155315
2020-08-10,7.550000,7.589000,7.539000,7.542500,7.542500,106512
2020-08-11,7.550000,7.550000,7.422000,7.422000,7.422000,231571
2020-08-12,7.395000,7.406000,7.354000,7.360000,7.360000,350587
2020-08-13,7.431000,7.431000,7.358000,7.361000,7.361000,116880
2020-08-14,7.302000,7.342000,7.296000,7.303000,7.303000,8602468
2020-08-17,7.308000,7.326000,7.272000,7.326000,7.326000,219500
2020-08-18,7.335000,7.335000,7.304000,7.326000,7.326000,145494
2020-08-19,7.376000,7.388000,7.361000,7.361000,7.361000,125748
2020-08-20,7.348000,7.381190,7.340000,7.378000,7.378000,190723
2020-08-21,7.358000,7.414000,7.355000,7.414000,7.414000,174358
2020-08-24,7.424000,7.440000,7.404000,7.417000,7.417000,25790
2020-08-25,7.382000,7.382000,7.309000,7.308000,7.308000,167082
2020-08-26,7.302000,7.317000,7.283000,7.288000,7.288000,659157
2020-08-27,7.314000,7.378000,7.200000,7.203000,7.203000,789131
2020-08-28,7.130000,7.224000,7.128000,7.219000,7.219000,697768
2020-09-01,7.220000,7.251000,7.190000,7.251000,7.251000,736550
2020-09-02,7.295000,7.376000,7.284000,7.372500,7.372500,274486
2020-09-03,7.360000,7.465000,7.354000,7.420000,7.420000,363093
2020-09-04,7.410000,7.410000,7.315000,7.330000,7.330000,242639
2020-09-07,7.257000,7.267000,7.244000,7.243500,7.243500,74105
2020-09-08,7.250000,7.365000,7.250000,7.345000,7.345000,256401
2020-09-09,7.356000,7.356000,7.294300,7.293000,7.293000,316309
2020-09-10,7.291000,7.310640,7.233000,7.235000,7.235000,178478
2020-09-11,7.326000,7.340000,7.305000,7.337500,7.337500,76090
2020-09-14,7.355000,7.366000,7.330000,7.347000,7.347000,80357
2020-09-15,7.345000,7.356800,7.309000,7.309000,7.309000,162908
2020-09-16,7.340000,7.358000,7.329000,7.340000,7.340000,135659
2020-09-17,7.337000,7.359000,7.312000,7.336500,7.336500,131230
2020-09-18,7.322000,7.355000,7.302000,7.305000,7.305000,249524
2020-09-21,7.299000,7.384000,7.298000,7.346000,7.346000,7455806
2020-09-22,7.341000,7.356000,7.312000,7.318500,7.318500,4638962
2020-09-23,7.345000,7.347000,7.304000,7.309500,7.309500,462774
2020-09-24,7.362000,7.374000,7.346000,7.366000,7.366000,118307
2020-09-25,7.367000,7.384000,7.354900,7.375000,7.375000,204374
2020-09-28,7.365000,7.366000,7.338000,7.349000,7.349000,530661
2020-09-29,7.344000,7.374000,7.344000,7.374000,7.374000,7426394
2020-09-30,7.355000,7.355000,7.279000,7.285000,7.285000,220143
2020-10-01,7.280000,7.302000,7.241000,7.284000,7.284000,358134
2020-10-02,7.334000,7.337000,7.250000,7.274000,7.274000,177066
2020-10-05,7.236000,7.249000,7.160000,7.164000,7.164000,266228
2020-10-06,7.129000,7.153000,7.096000,7.111000,7.111000,178825
2020-10-07,7.158000,7.164000,7.112410,7.144000,7.144000,266607
2020-10-08,7.140000,7.155000,7.130000,7.152500,7.152500,355854
2020-10-09,7.154000,7.159000,7.120000,7.142000,7.142000,119241
2020-10-12,7.160000,7.171000,7.150000,7.151000,7.151000,338536
2020-10-13,7.183000,7.222000,7.171000,7.209000,7.209000,365611
2020-10-14,7.238000,7.263000,7.235000,7.250000,7.250000,284713
2020-10-15,7.285000,7.304000,7.260000,7.270500,7.270500,359035
2020-10-16,7.244000,7.253000,7.197000,7.203000,7.203000,178842
2020-10-19,7.180000,7.180000,7.150000,7.173000,7.173000,109479
2020-10-20,7.180000,7.180000,7.119000,7.139500,7.139500,225354
2020-10-21,7.085000,7.113000,7.077000,7.103000,7.103000,217622
2020-10-22,7.109000,7.109000,7.035000,7.049000,7.049000,2012815
2020-10-23,7.034000,7.041000,7.000000,7.033000,7.033000,422809
2020-10-26,7.112000,7.140000,7.017000,7.121500,7.121500,441069
2020-10-27,7.120000,7.176000,7.113100,7.166000,7.166000,204469
2020-10-28,7.201000,7.213000,7.174000,7.183000,7.183000,557547
2020-10-29,7.178000,7.195000,7.123000,7.131000,7.131000,617850
2020-10-30,7.128000,7.134000,7.071000,7.081000,7.081000,195991
2020-11-02,7.053000,7.113000,7.038000,7.104000,7.104000,645295
2020-11-03,7.070000,7.083000,7.030000,7.035000,7.035000,172987
2020-11-04,7.222000,7.261000,7.150000,7.209000,7.209000,880771
2020-11-05,7.287000,7.290000,7.187000,7.194000,7.194000,847149
2020-11-06,7.231000,7.249900,7.111000,7.142500,7.142500,421344
2020-11-09,7.142000,7.173000,6.924000,6.941500,6.941500,1539846
2020-11-10,6.997000,7.016500,6.929000,6.946000,6.946000,548246
2020-11-11,6.922000,6.945000,6.905000,6.940000,6.940000,246433
2020-11-12,6.997000,7.027000,6.982000,7.024000,7.024000,540442
2020-11-13,7.085000,7.102000,7.064000,7.074000,7.074000,464109
2020-11-16,7.101000,7.106000,7.025000,7.059500,7.059500,551880
2020-11-17,7.069000,7.119000,7.050000,7.103000,7.103000,125332
2020-11-18,7.150000,7.174000,7.110000,7.122000,7.122000,430667
2020-11-19,7.150000,7.168000,7.143000,7.158000,7.158000,189294
2020-11-20,7.211000,7.215000,7.171000,7.184000,7.184000,237588
2020-11-23,7.223000,7.224000,7.166000,7.174000,7.174000,611854
2020-11-24,7.167000,7.178000,7.138000,7.134500,7.134500,496884
2020-11-25,7.121000,7.153000,7.107000,7.133000,7.133000,378995
2020-11-26,7.103000,7.130000,7.097400,7.125500,7.125500,152230
2020-11-27,7.127000,7.157000,7.124000,7.152000,7.152000,120423
2020-11-30,7.163000,7.175000,7.140000,7.157000,7.157000,151824
2020-12-01,7.167000,7.180700,7.039500,7.056000,7.056000,390075
2020-12-02,7.037000,7.056000,6.980000,6.989000,6.989000,474413
2020-12-03,6.999000,7.036000,6.992900,7.019500,7.019500,259666
2020-12-04,7.043000,7.067000,6.930000,6.943000,6.943000,2281162
2020-12-07,6.997000,7.014000,6.994000,7.017000,7.017000,232872
2020-12-08,7.029000,7.070000,7.000000,7.048000,7.048000,423443
2020-12-09,7.019000,7.021000,6.987000,7.017500,7.017500,352907
2020-12-10,7.055000,7.056000,7.019000,7.034000,7.034000,120350
2020-12-11,7.080000,7.134000,7.080000,7.126000,7.126000,1177929
2020-12-14,7.083000,7.085000,7.025000,7.085000,7.085000,718755
2020-12-15,7.100000,7.105000,7.064300,7.079000,7.079000,1175771
2020-12-16,7.066000,7.066000,7.000000,7.049000,7.049000,204280
2020-12-17,7.034000,7.096000,7.034000,7.056500,7.056500,982032
2020-12-18,7.043000,7.053700,7.007000,7.013000,7.013000,344885
2020-12-21,7.075000,7.100000,7.023000,7.023000,7.023000,384937
2020-12-22,7.069000,7.070000,7.030000,7.066000,7.066000,176586
2020-12-23,7.068000,7.077000,6.971000,6.981000,6.981000,203537
2020-12-24,7.023000,7.033000,7.009000,7.027000,7.027000,10924
2020-12-29,7.032000,7.045000,7.012000,7.041000,7.041000,454553
2020-12-30,7.032000,7.042000,7.000000,7.029500,7.029500,170925
2020-12-31,7.051000,7.060000,7.045000,7.058000,7.058000,21716
2021-01-04,7.042000,7.077000,7.020000,7.072000,7.072000,1126816
2021-01-05,7.051000,7.051000,6.996000,6.996000,6.996000,725944
2021-01-06,6.909000,6.920000,6.830000,6.835500,6.835500,2297514
2021-01-07,6.823000,6.858000,6.785900,6.801000,6.801000,2102437
2021-01-08,6.801000,6.824000,6.754000,6.772000,6.772000,325081
2021-01-11,6.804000,6.811000,6.748000,6.759000,6.759000,518146
2021-01-12,6.751000,6.769000,6.723000,6.729500,6.729500,187291
2021-01-13,6.803000,6.827000,6.774000,6.805000,6.805000,173518
2021-01-14,6.824000,6.846000,6.811000,6.833000,6.833000,278135
2021-01-15,6.814000,6.827000,6.796000,6.820000,6.820000,1841301
2021-01-18,6.847000,6.847000,6.801000,6.817000,6.817000,244468
2021-01-19,6.801000,6.819000,6.785000,6.821500,6.821500,329841
2021-01-20,6.830000,6.831000,6.806000,6.812000,6.812000,437065
2021-01-21,6.846000,6.846000,6.770000,6.796500,6.796500,313753
2021-01-22,6.809000,6.826000,6.768000,6.794000,6.794000,139556
